Code,Name,Size,Yield,UnitCost,MesSellPrice,UnitSelPrice,OpenStockUnit,OpenStockPrice,StockHoldingUnits,StockHoldingPrice
012621,NELSONS GIN,70,28.0,24.57,0.00,0.00,0.7,17.20,0.7,17.20			
012772,RED DOOR GIN FOC,70,28.0,0.00,0.00,0.00,0.4,0.00,0.4,0.00			
012801,ROKU,70,28.0,31.69,0.00,0.00,0.1,3.17,0.0,0.00			
012807,RUGBY GIN FOC,70,28.0,0.00,0.00,0.00,1.0,0.00,1.0,0.00			
012931,W/NEIL APRICOT PINK,70,28.0,27.94,0.00,0.00,0.8,22.35,0.8,22.35			
012941,WHITNEY NEIL GIN,70,28.0,17.49,0.00,0.00,0.2,3.50,0.1,1.75			
012947,W/NEIL DIST CUT,70,28.0,17.49,0.00,0.00,1.3,22.74,1.2,20.99			
012949,W/NEIL BLK CHERRY,70,28.0,18.33,0.00,0.00,2.9,53.16,2.9,53.16
012950,W/NEIL B/ORANGE,70,28.0,17.49,0.00,0.00,1.6,27.98,2.1,36.73
012953,W/NEIL GOOSEBERRY,100,40.0,22.84,0.00,0.00,0.3,6.85,0.2,4.57
012954,W/NEIL PINEAPPLE,70,28.0,17.49,0.00,0.00,1.5,26.24,2.1,36.73
012955,W/NEIL PINK GRAPE,70,28.0,17.49,0.00,0.00,0.8,13.99,0.3,5.25
012957,W/NEIL RASPBERRY,70,28.0,22.84,0.00,0.00,1.7,38.83,3.0,67.38
012959,W/NEIL RHUBARB,70,28.0,19.06,0.00,0.00,1.8,34.31,0.9,17.15
013071,BELLS,70,28.0,17.39,0.00,0.00,0.9,15.65,4.8,83.47
013271,FAMOUS GROUSE,70,28.0,19.15,0.00,0.00,2.7,51.71,2.2,42.13
013950,WHYTE & MAKAY,150,60.0,29.16,0.00,0.00,0.9,26.24,0.9,26.24
013951,WHYTE & MACKAY,70,28.0,13.57,0.00,0.00,1.0,13.57,1.3,17.64
014041,AUCHENTOSHAN,70,28.0,23.48,0.00,0.00,1.0,23.48,0.6,14.09
014091,BOWMORE 12YO,70,28.0,38.96,0.00,0.00,1.7,66.23,1.3,48.70
014371,GLEN SCOTIA,70,28.0,10.95,0.00,0.00,0.8,8.76,0.7,7.67
014415,GLENLIVET FOUNDERS,70,28.0,57.40,0.00,0.00,2.9,166.46,2.3,132.02
014431,GLENMORANGIE 10YR,70,28.0,33.15,0.00,0.00,1.9,62.99,1.2,39.78
014455,HAIG CLUBMAN,70,28.0,25.65,0.00,0.00,0.2,5.13,0.2,5.13
014841,TALISKER,70,28.0,39.38,0.00,0.00,2.9,114.20,2.6,100.42
015340,JACK DANIELS,150,60.0,44.05,0.00,0.00,0.5,22.03,0.0,0.00	
015341,JACK DANIELS,70,28.0,19.25,0.00,0.00,3.2,61.60,3.1,59.68
015361,JIM BEAM WHITE,70,28.0,12.99,0.00,0.00,1.2,15.59,0.7,9.09
015501,SOUTHERN COMFORT,70,28.0,20.65,0.00,0.00,3.6,74.34,3.7,76.41
015720,JAMESON,150,60.0,34.02,0.00,0.00,0.7,23.81,0.7,23.81
015721,JAMESON,70,28.0,19.05,0.00,0.00,2.0,38.10,1.0,19.05
016371,JJ WHITLEY VODKA,70,28.0,25.50,0.00,0.00,0.3,7.65,0.0,0.00
016801,SMIRNOFF RED,70,28.0,17.50,0.00,0.00,1.9,33.25,1.9,33.25
017651,PIMMS NO1,100,40.0,16.01,0.00,0.00,2.3,36.82,2.3,36.82
018081,AMARETTO,70,28.0,20.58,0.00,0.00,2.6,53.51,3.3,67.91
018091,AMARETTO WHITE,70,28.0,19.86,0.00,0.00,1.9,37.73,1.9,37.73
018150,BAILEYS IRISH CRM,150,30.0,30.36,0.00,0.00,1.0,30.36,0.0,0.00
018151,BAILEYS IRISH CRM,70,14.0,15.89,0.00,0.00,0.0,0.00,3.8,60.38 
018171,BENEDICTINE,70,28.0,15.42,0.00,0.00,0.9,13.88,0.9,13.88 
018501,DRAMBUIE,70,28.0,29.92,0.00,0.00,1.9,56.85,1.7,50.86
018731,GRAND MARNIER,70,28.0,16.36,0.00,0.00,0.6,9.82,0.0,0.00
018841,JAGERMEISTER,70,28.0,19.47,0.00,0.00,1.6,31.15,0.7,13.63
018861,KAHLUA,70,28.0,15.00,0.00,0.00,2.8,42.00,3.5,52.50
019050,MALIBU ORIGINAL,150,60.0,27.13,0.00,0.00,0.7,18.99,0.1,2.71
019051,MALIBU ORIGINAL,70,28.0,14.03,0.00,0.00,0.7,9.82,0.6,8.42
019340,ARCHERS SCHNAPPS,150,60.0,25.28,0.00,0.00,0.9,22.75,1.0,25.28
019341,ARCHERS PEACH SCH,70,28.0,14.22,0.00,0.00,1.7,24.17,1.0,14.22
019513,SAMBUCA ANTICA,70,28.0,14.87,0.00,0.00,1.5,22.31,2.0,29.74
019697,TEQ DEAD MAN RASP,70,28.0,0.00,0.00,0.00,0.8,0.00,0.4,0.00
019785,TEQ PATRON SILVER,70,28.0,0.00,0.00,0.00,0.5,0.00,1.0,0.00
019793,TEQ ROSE,70,28.0,13.49,0.00,0.00,0.2,2.70,2.0,26.98
019831,TIA MARIA,70,28.0,28.61,0.00,0.00,5.0,143.05,0.0,0.00
019832,WRAY & NEPHEW RUM,70,28.0,24.22,0.00,0.00,0.0,0.00,3.8,92.04
019834,GREY GOOSE VODKA,70,28.0,35.53,0.00,0.00,0.0,0.00,1.4,49.74
019835,SMIRNOFF PEACH,70,28.0,18.25,0.00,0.00,0.0,0.00,0.8,14.60
019836,CURACAO BLUE DKY,35,14.0,10.15,0.00,0.00,0.0,0.00,0.8,8.12
019837,APEROL,70,28.0,12.00,0.00,0.00,0.0,0.00,3.0,36.00
021221,CINZANO BIANCO,75,15.0,6.73,0.00,0.00,0.9,6.06,0.9,6.06		
021500,MARTINI DRY,150,30.0,11.68,0.00,0.00,0.3,3.50,0.3,3.50
021540,MARTINI RED,150,30.0,13.24,0.00,0.00,0.3,3.97,0.2,2.65
022451,COCKBURNS SPECIAL,75,15.0,14.23,0.00,0.00,0.8,11.38,0.4,5.69
023761,NIEPOORT RUBY PORT,75,15.0,14.23,0.00,0.00,0.9,12.81,0.9,12.81
024561,TAYLORS TAWNY PORT,75,15.0,12.60,0.00,0.00,1.0,12.60,1.8,22.68
025201,BRISTOL CREAM,75,15.0,10.47,0.00,0.00,1.6,16.75,0.3,3.14
