Venners_Code,Venners_Name,Venners_Size,Stock,Venners_Cost,Venners_Value,Stock_Id,Stock_Name,Suggested_Name
038873,PROSECCO TREVIGIAN,BOTTLE,0,2.36,977.04,300,Cantina Trevigiana Prosecco 200ml Bottle,Prosecco Trevigian Minature Bottle [038873]
075701,SPRINGBOURNE WATER,BOTTLE,0,4.53,5.89,223,Springbourne Water,Springbourne Water 3300ml [075701]
077303,COCA COLA CN,CAN,0,8.2,41,15,Coca Cola Can,Coca Cola Can 3300ml [077303]
077521,FANTA CN,CAN,0,1,3.2,97,Fanta Orange Can,Fanta Can 3300ml [077521]
077681,PEPSI MAX CN,CAN,0,5.99,94.64,20,Pepsi Max Can,Pepsi Max Can 3300ml [077681]
077993,RED BULL,CAN,0,12,15.6,304,Redbull 250ml Can,Redbull Bull 250ml [077993]
090171,BACON FRIES DOZ,DOZ,0,5.29,26.98,288,Smith's Scampi Fries,Bacon Fries [090171]
098271,CRUNCHIE DOZ,DOZ,0,9.79,23.5,248,Crunchie,Crunchie Doz [098271]
098276,DAIRY MILK 45G DOZ,DOZ,0,7.11,0.71,249,Dairy Milk 45g,Dairy Milk Doz 45g [098276]
094421,DRY ROAST KP 50G DOZ,DOZ,0,9.65,26.06,246,KP Dry Roasted,Kp Dry Roasted Doz 50g [094421]
098566,HARIBO SUPERMIX DOZ,DOZ,0,14.91,13.42,251,Haribo Supamix,Haribo Supermix Doz [098566]
098571,HARIBO TANGFASTIC DOZ,DOZ,0,14.91,2.98,252,Haribo Tangfastic,Haribo Tangfastic Doz [098571]
099712,PORK SCRATCHINGS DOZ,DOZ,0,8.16,48.96,290,Midlands Pork Scratchings,Pork Scratchings Doz [099712]
095751,SALTED NUTS KP 50G DOZ,DOZ,0,9.65,37.64,83,KP Nuts Salted,Salted Kp Nuts Doz 50g [095751]
099713,SCAMPI FRIES DOZ,DOZ,0,5.29,16.93,288,Smith's Scampi Fries,Scampi Fries Doz [099713]
099351,SNICKERS DOZ,DOZ,0,6.49,13.63,259,Snickers,Snickers Doz [099351]
060131,ASPALL 4.5% GAL,GAL,0,10.37,362.95,137,Aspall,Aspall 4.5% Draught [060131]
040481,BASS ALE 10GAL GAL,GAL,0,10.73,418.47,134,Bass,Bass Ale Draught [040481]
047281,CARLING GAL,GAL,0,12.09,531.96,1,Carling Lager,Carling Draught [047281]
047446,ESTRELLA 0% GAL,GAL,0,9.82,78.56,141,Estrella Galicia 0%,Estrella 0% Draught  [047446]
046321,GUINNESS GAL,GAL,0,15.37,445.73,4,Guinness,Guinness Draught [046321]
042771,LEVEL HEAD 30L GAL,GAL,0,13.47,218.21,138,Level Head,Level Head Draught [042771]
048061,MADRI GAL,GAL,0,13.73,741.42,136,Madri,Madri Draught [048061]
048501,SAN MIGUEL GAL,GAL,0,12.19,511.98,5,San Miguel,San Miguel Draught [048501]
076151,COLA 5.4-1 LTR,POSTMIX,0,4.68,74.88,143,Cola Post mix,Cola 5.4-1 Post Mix [076151]
076321,GINGER BEER 5-1 LTR,POSTMIX,0,4.95,94.05,268,Ginger Beer Post Mix,Ginger Beer 5-11 Post Mix [076321]
076901,LEMONADE 7.5-1 LTR,POSTMIX,0,3.57,121.38,135,Lemonade Post Mix,Lemonade 7.5-1 Post Mix [076901]
076621,ORANGE JUICE 4-1 LTR,POSTMIX,0,6.89,213.59,144,Orange Juice Post Mix,Orange Juice 4-1 Post Mix [076621]
076701,PEPSI MAX 5-1 LTR,POSTMIX,0,6.06,139.38,95,Pepsi Max 500ml Bottle,Pepsi Max 5-1 Post Mix [076701]
052336,Guinness 0% Cans,440,12.2,18.17,294,Guinness 0.0% 440ml [052336]
098873,Kit Kat 2 Finger,EACH,0,0,0,254,Kit Kat 2 Finger,Kit Kat 2 Finger [098873]
098871,Kit Kat 4 Finger,EACH,42.00,0.58,24.48,86,Kit Kat 4 Finger,Kit Kat 4 Finger [098871]
099000,Maltesers,EACH,0,0,0,255,Maltesers,Maltesers [099000]
099031,Maoam Pinballs,EACH,0,0,0,258,Maoam Pinballs,Maoam Pinballs [099031]
099021,Mars Bar,EACH,79.00,0.7,55.07,256,Mars Bar,Mars Bar [099021]
099026,Minstrels,EACH,0,0,0,257,Minstrels,Minstrels [099026]
099521,Twirl,EACH,0,0,0,260,Twirl,Twirl [099521]
099711,Twix,EACH,0,0,0,261,Twix,Twix [099711]

999033,Lucozade Sport - Lemon & Lime,REMOVE,0,0,0,293,Lucozade Sport - Lemon & Lime,Lucozade Sport Lemon Lime [999033]
999056,TT Landlord,REMOVE,0,0,0,140,TT Landlord,TT Landlord [999056]
