Code,StockItemId,CSV_Name,CSV_Size,PreferredTU,ChosenTU,ChosenTU_Id,Quantity,UnitCost,LinePrice
080007,429,BRANSTON 360G,JAR,Jar 360g,Jar 360g,727,2.0,2.5,5.0
080044,430,BURGER SAUCE,LTR,Bottle 1L,Bottle 1L,728,3.0,3.4,10.2
080009,431,CAESAR DRESS 2.27,TUB,Tub 2.27L,Tub 2.27L,729,0.7,11.09,7.76
080010,432,CHILLI SAUCE 1.0,TUB,Tub 10ml,Tub 10ml,730,1.0,3.59,3.59
080013,433,CURRY PASTE,2.3,Tub 2.3kg,Tub 2.3kg,731,1.0,11.99,11.99
080014,434,DESSERT SAUCES,EAC,Bottle 1L,Bottle 1L,732,11.7,3.13,36.62
080043,435,GINGER PUREE,750,Tub 750g,Tub 750g,733,1.0,12.12,12.12
080017,436,HORSERADISH 2.27,TUB,Tub 2.27kg,Tub 2.27kg,734,1.8,9.13,16.43
080045,437,MANGO CHUTNEY,2.6,Tub 2.6kg,Tub 2.6kg,735,1.0,7.49,7.49
080020,438,MAYO VEGAN,LTR,Bottle 1L,Bottle 1L,736,1.0,3.43,3.43
080021,439,MAYONNAISE 5LT,TUB,Tub 5L,Tub 5L,737,3.0,19.99,59.97
080022,440,MINT SAUCE 2.27,TUB,Tub 285g,Tub 285g,738,1.5,8.23,12.35
080024,441,MUSTARD DIJON 2.27,TUB,Tub 2.27kg,Tub 2.27kg,739,1.0,18.18,18.18
080025,442,MUSTARD ENG 2.2L,TUB,Tub 2.2L,Tub 2.2L,740,0.3,4.4,1.32
080027,443,ONION CHUT 1.15,TUB,Tub 10ml,Tub 10ml,741,1.5,6.65,9.98
080028,444,SALSA THICK 2.3,TUB,Tub 342g,Tub 342g,742,1.0,13.05,13.05
080029,445,SCH BROWN FAIRWAY,BOX,Box 1kg,Box 1kg,743,3.5,18.98,66.43
080031,446,SOYA LIGHT 1.9L,BOT,Bottle 1.9L,Bottle 1.9L,744,1.0,13.24,13.24
080032,447,SQZ BBQ SAUCE,465,Squeezy 465ml,Squeezy 465ml,745,2.0,2.37,4.74
080033,448,SQZ BROWN HP,285,Pack 285g,Pack 285g,746,8.0,2.54,20.32
080034,449,SQZ MAYO HZ,220,Squeezy 220ml,Squeezy 220ml,747,10.0,1.13,11.3
080035,450,SQZ SALAD CREAM,425,Squeezy 425ml,Squeezy 425ml,748,7.0,2.36,16.52
080036,451,SQZ TOMATO HZ,342,Squeezy 342ml,Squeezy 342ml,749,10.0,1.63,16.3
080039,452,WORCHESTER SAUCE,568,Bottle 568ml,Bottle 568ml,750,1.0,4.61,4.61
080042,453,YOGURT & MINT 2.27,TUB,Tub 2.27kg,Tub 2.27kg,751,1.0,11.71,11.71
090001,454,ALMONDS FLAKED,KGS,Pack 1kg,Pack 1kg,752,1.0,7.93,7.93
090002,455,ALMONDS GROUND,KGS,Pack 1kg,Pack 1kg,753,0.5,10.28,5.14
090003,456,APPLES SOLID PACK 2.6,TIN,Pack 2.8kg,Pack 2.8kg,754,3.0,3.9,11.7
090004,457,BATTER MIX 3.5K,BAG,Bag 3.5kg,Bag 3.5kg,755,1.0,10.77,10.77
090095,458,BATTER MIX G/F,3.5,Pack 10ml,Pack 10ml,756,1.0,11.08,11.08
090005,459,BEANS BAKED 2.62KG,TIN,Tin 2.62kg,Tin 2.62kg,757,8.0,5.79,46.32
090008,460,BEANS KIDNEY 2.6KG,TIN,Tin 2.6kg,Tin 2.6kg,758,1.0,5.86,5.86
090096,461,BISCOFF CRUMB,BAG,Bag 1kg,Bag 1kg,759,2.0,3.88,7.76
090009,462,BISCOFF SPREAD,1.6,Jar 1.6kg,Jar 1.6kg,760,1.0,14.99,14.99
090010,463,BISCUITS CHEESE 800G,BOX,Box 800g,Box 800g,761,3.0,7.2,21.6
090011,464,BISCUITS LOTUS,300,Box 300g,Box 300g,762,2.5,13.73,34.33
090014,465,BOUILLION VEG PAST,1KG,Pack 1kg,Pack 1kg,763,3.0,24.67,74.01
090097,466,BREAD STICKS,BOX,Box 500g,Box 500g,764,13.0,3.35,43.55
090017,467,CER SPECIAL K,500,Box 500g,Box 500g,765,2.0,4.0,8.0
090019,468,CHOC CALLETS,BAG,Bag 1kg,Bag 1kg,766,1.0,60.27,60.27
090020,469,COCOA BOURNVILLE,1.5,Tub 1.5kg,Tub 1.5kg,767,1.0,25.0,25.0
090021,470,COCONUT MILK 400,TIN,Tin 400g,Tin 400g,768,1.0,0.88,0.88
090022,471,CORNFLOUR 3.5K,BAG,Bag 3.5kg,Bag 3.5kg,769,1.0,7.95,7.95
090024,472,CRISPS PIPERS 600G,TUB,Tub 600g,Tub 600g,770,1.5,5.26,7.89
090025,473,FLOUR PLAIN 1.5K,BAG,Bag 1.5kg,Bag 1.5kg,771,4.8,1.51,7.25
090098,474,FLOUR RICE,3KG,Pack 3.0kg,Pack 3.0kg,772,0.5,17.7,8.85
090027,475,FLOUR S/R 1.5KG,BAG,Bag 1.5kg,Bag 1.5kg,773,5.8,1.63,9.45
090030,476,GOLDEN SYRUP 750G,TUB,Tub 750g,Tub 750g,774,1.5,3.23,4.85
090032,477,GRAVY BISTO POULTRY,1.8,Tub 1.8kg,Tub 1.8kg,775,1.0,11.35,11.35
090099,478,GRAVY BROWNING,1.2,Bottle 1.2L,Bottle 1.2L,776,1.0,8.96,8.96
090033,479,GRAVY KNORR 1.88KG,TUB,Tub 1.88kg,Tub 1.88kg,777,6.0,13.99,83.94
090035,480,HERBS & SPICES,TUB,Tub 400g,Tub 400g,778,38.0,4.0,152.0
090101,481,HONEY SQY,340,Squeezy 340g,Squeezy 340g,779,5.5,3.83,21.07
090102,482,HOT DOGS 3.4KG,TIN,Tin 3.4kg,Tin 3.4kg,780,1.0,13.73,13.73
090037,483,JAM 28G JAR,EAC,Jar 28g,Jar 28g,781,164.0,0.28,45.92
090103,484,JAM CHILLI,2.4,Jar 2.4kg,Jar 2.4kg,782,0.5,6.56,3.28
090039,485,JAM STRAWBERRY,3KG,Pack 3.0kg,Pack 3.0kg,783,36.0,12.4,446.4
090040,486,JAM VARIOUS,454,Jar 454g,Jar 454g,784,1.0,1.2,1.2
090104,487,LENTILS RED,3KG,Pack 3.0kg,Pack 3.0kg,785,0.5,11.22,5.61
090042,488,MARMALADE 28G JAR,EAC,Jar 28g,Jar 28g,786,57.0,0.31,17.67
090045,489,MUSHY PEAS 2.6KG,TIN,Tin 2.6kg,Tin 2.6kg,787,2.0,4.4,8.8
090112,490,NUT PINE,KGS,Pack 1kg,Pack 1kg,788,1.0,32.95,32.95
